               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13618,            0.042063,                   0,                   0,                   0,                   0,                   0,              0.1354,            0.041721,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.13494,            0.043105,                   0,                   0,                   0,                   0,                   0,             0.13381,            0.041821,                   0,            0.093693,          0.00069307,          0.00069307
                   2,             0.13123,            0.044006,                   0,                   0,                   0,                   0,                   0,             0.13132,            0.042451,                   0,            0.090078,           0.0010782,           0.0010782
                   3,             0.12891,            0.040544,                   0,          0.00047619,            0.014493,          0.00024667,           3.669e-05,              0.1277,            0.042926,                   0,            0.086455,           0.0014555,           0.0014555
                   4,             0.12527,            0.042243,                   0,          0.00044444,            0.014493,          0.00022588,          3.3878e-05,             0.12445,            0.043782,                   0,            0.082825,           0.0018248,           0.0018248
                   5,             0.12581,            0.042333,                   0,          0.00018519,           0.0072464,          9.3643e-05,          1.8729e-05,             0.12066,            0.042459,                   0,            0.079186,           0.0021861,           0.0021861
                   6,              0.1185,            0.039052,                   0,           0.0011667,            0.050725,          0.00075268,          0.00016929,             0.11732,            0.041736,                   0,             0.07554,           0.0025396,           0.0025396
                   7,             0.11856,            0.041259,                   0,           0.0033333,             0.15942,           0.0041152,          0.00090191,             0.11437,            0.041649,                   0,            0.071885,           0.0028852,           0.0028852
                   8,             0.11494,             0.04523,                   0,              0.0126,             0.25362,            0.017436,           0.0032941,             0.10607,            0.042369,                   0,            0.068223,           0.0032228,           0.0032228
                   9,            0.099897,            0.037967,                   0,             0.12495,            0.094203,            0.037542,           0.0071536,             0.11044,            0.041537,                   0,            0.064553,           0.0035525,           0.0035525
                  10,             0.10344,             0.03627,                   0,             0.15267,             0.13768,            0.071646,            0.015248,              0.1055,            0.040503,                   0,            0.060874,           0.0038743,           0.0038743
                  11,             0.10078,            0.038647,                   0,            0.073329,             0.26812,            0.043376,           0.0098545,             0.11073,            0.037039,                   0,            0.057188,           0.0041882,           0.0041882
                  12,            0.098734,            0.033553,                   0,             0.25486,             0.32609,             0.16224,             0.03926,             0.10796,            0.033777,                   0,            0.053494,           0.0044941,           0.0044941
                  13,            0.099657,            0.031713,                   0,             0.32041,             0.30435,             0.21448,            0.049139,             0.10383,            0.033345,                   0,            0.049792,           0.0047922,           0.0047922
                  14,            0.095561,             0.03058,                   0,             0.16546,             0.25362,             0.12585,            0.030508,            0.099078,            0.034023,                   0,            0.046082,           0.0050823,           0.0050823
                  15,            0.096268,            0.029603,                   0,             0.18041,             0.37681,             0.11299,            0.020194,            0.095556,            0.038315,                   0,            0.042364,           0.0053644,           0.0053644
                  16,            0.094343,            0.029881,                   0,             0.35578,             0.54027,             0.39305,            0.084567,            0.097513,            0.033112,                   0,            0.038639,           0.0056387,           0.0056387
                  17,            0.087775,            0.030569,                   0,             0.29721,             0.48551,             0.24606,             0.05784,             0.10143,            0.028795,                   0,            0.034905,           0.0059051,           0.0059051
                  18,             0.09311,            0.027403,                   0,             0.19281,             0.34783,             0.15507,            0.034024,            0.081676,            0.033476,                   0,            0.031163,           0.0061635,           0.0061635
                  19,            0.087935,            0.029238,                   0,             0.44588,             0.53623,             0.46368,             0.11524,            0.091709,            0.029496,                   0,            0.027414,            0.006414,            0.006414
                  20,            0.079216,            0.028891,                   0,              0.1809,             0.34728,             0.14589,            0.027955,             0.10373,            0.027994,                   0,            0.023657,           0.0066566,           0.0066566
